TP (%),RPM,Lambda (AFR)
1,0,9.66
2,44.41,9.32
3,121.5,9.6
4,260.65,10.78
3,1275.08,10.29
4,1307.81,11
5,1336.14,11.67
6,1367.51,12.27
7,1410.04,12.75
8,1480.03,13.23
3,2663.85,10.56
4,2663.11,11.56
5,2804.29,12.29
6,2950.74,11.81
7,2966.52,11.8
8,2980.45,11.78
9,2998.79,11.77
10,3028.32,11.76
11,3071.06,11.74
12,3148.94,11.62
4,3601.09,11.06
5,3587.53,10.86
6,3588.23,11.14
7,3630,11.37
8,4127.79,10.89
9,4173.57,10.96
10,4246.32,11.16
11,4330.18,11.32
7,4883.44,11.1
8,4899.82,11.11
9,4908.85,11.16
10,4915.96,11.23
11,4925.17,11.33
12,4937.4,11.44
13,4963.89,11.61
4,5305.01,11.49
5,5287.07,11.26
6,5269,10.91
4,5456.78,10.02
5,5426.14,10.24
6,5419.09,10.75
7,5429,10.92
8,5435.3,11.01
9,5443.27,11.11
10,5457.3,11.22
8,5662.21,11.14
9,5681.21,11.18
10,5691.85,11.23
11,5702.75,11.28
12,5716.87,11.34
13,5749.77,11.44
6,6164.96,10.46
7,6161.09,10.62
8,6467.49,10.99
9,6485.25,11.05
6,6613.06,10.92
7,6504.61,10.62
8,6503.67,10.69
9,6505.24,10.77
10,6511.07,10.88
5,6172.54,9.65
6,6155.49,9.93
7,6154.34,10.18
8,6159.28,10.42
5,6114.74,9.93
6,6093.41,10.15
4,6059.73,9.55
5,6014.54,9.78
6,5995.54,10.34
7,6277.73,10.29
8,6284.54,10.44
6,6135.69,10.26
5,6127.37,9.78
2,4390.67,10.3
3,3743.53,10.73
4,3694.07,10.16
5,3669.02,10.01
6,3661.04,10.12
7,3660.33,10.31
8,3665.15,10.53
9,3677.46,10.78
10,3699.34,11.01
11,3739.18,11.21
12,3825.2,11.32
13,3958.62,11.34
14,4019.3,11.38
15,4079.55,11.42
6,4534.95,11.65
7,4544.06,11.59
8,4546.27,11.57
9,4547.81,11.56
10,4549.22,11.54
11,4550.88,11.53
12,4553.12,11.51
13,4557.33,11.48
14,4562.25,11.45
15,4572.17,11.41
16,4591.34,11.4
17,4626.78,11.42
18,4834.47,11.13
19,5060.39,11.11
20,5188.5,11.16
7,5689.55,11.35
8,5690.56,11.31
9,5690.13,11.3
10,5689.54,11.28
11,5689.52,11.25
12,5691.23,11.22
13,5699.74,11.25
14,5726.01,11.43
15,6022.63,11.39
16,6257.28,11.41
17,6303.74,11.46
18,6347.87,11.51
19,6401.58,11.55
8,6631.55,11.29
9,6632.09,11.27
10,6632.37,11.27
11,6634.22,11.25
12,6645.12,11.21
13,6666.34,11.29
14,6682.79,11.34
15,6696.09,11.36
16,6706.21,11.37
17,6715.14,11.38
18,6724.62,11.38
19,6734.72,11.38
20,6747.57,11.38
21,6759.29,11.37
22,6774.54,11.35
23,6794.06,11.33
24,6825.02,11.3
25,6933.52,11.25
26,7000.36,11.26
27,7049.38,11.28
28,7109.5,11.32
24,7667.77,12.07
25,7768.13,12.18
26,7873.19,12.15
27,7929.37,12.12
28,7974.27,12.1
29,8017.28,12.08
30,8065.21,12.05
31,8129.26,12.03
2,8467.31,12.16
3,7861.18,12.18
4,6517.83,11.12
5,6443.04,10.2
6,6398.29,10.37
7,6370.75,11.22
8,6372.31,11.18
9,6424.77,10.95
10,6455.44,10.98
11,6483.97,11.03
6,6592.81,11.33
7,6596.29,11.33
8,6597.03,11.34
9,6597.62,11.34
10,6598.61,11.33
11,6602.18,11.33
12,6613.42,11.44
13,6650.33,11.68
6,7238.91,11.19
7,7235.36,11.06
8,7231.79,10.97
9,7228.51,10.9
10,7227.27,10.9
11,7232.98,11.08
12,7253.9,11.27
13,7292.03,11.32
14,7399.55,11.58
2,7768.34,12.27
3,6558.86,12.32
4,6509.35,12.09
