TP (%),RPM,Lambda (AFR)
99.4594,3011.12,11.37
99.4653,3013.2,11.41
99.4323,3041.67,11.84
99.4353,3051.32,11.91
99.4404,3060.83,11.99
99.4477,3060.62,11.97
99.4565,3069.85,12.06
99.4614,3069.52,12.07
99.4706,3078.46,12.18
99.4727,3078.13,12.2
99.4804,3086.89,12.34
99.4825,3095.25,12.51
99.4821,3103.83,12.64
99.4792,3112.21,12.76
99.4502,3195.32,13.58
99.4491,3203.78,13.66
99.4492,3203.84,13.65
99.448,3213.43,13.73
99.4471,3221.71,13.8
99.4461,3230.94,13.87
99.4452,3238.87,13.92
99.4444,3246.71,13.98
99.4438,3254.47,14.03
99.4433,3270.12,14.12
99.4438,3277.89,14.16
99.4446,3277.82,14.15
99.4451,3294.44,14.25
99.4458,3294.36,14.24
99.4461,3310.75,14.32
99.4466,3310.63,14.31
99.4467,3326.7,14.39
99.447,3326.54,14.38
99.4467,3342.4,14.46
99.4469,3342.19,14.45
99.4463,3357.64,14.52
99.4455,3372.63,14.57
99.4302,3657.42,15.42
99.4305,3669.43,15.44
99.4309,3675.35,15.45
99.4314,3681.25,15.46
99.4319,3687.11,15.47
99.4325,3692.95,15.48
99.4332,3699.44,15.5
99.434,3705.18,15.51
99.4348,3710.87,15.51
99.4356,3717.3,15.53
99.4364,3722.96,15.54
99.4372,3728.67,15.54
99.4381,3735.09,15.56
99.4389,3740.8,15.57
99.4396,3746.49,15.58
99.4404,3752.92,15.59
99.4412,3758.58,15.6
99.4418,3764.2,15.61
99.4425,3770.51,15.62
99.4431,3776.79,15.63
99.4435,3782.31,15.64
99.444,3788.54,15.65
99.4443,3794.72,15.66
99.4445,3800.17,15.67
99.4447,3805.55,15.68
99.4449,3811.63,15.69
99.445,3816.98,15.7
99.4451,3828.33,15.71
99.4449,3890.48,15.77
99.4451,3906.95,15.78
99.4452,3912.58,15.78
99.4453,3918.19,15.78
99.4454,3923.16,15.78
99.4455,3928.72,15.78
99.4456,3934.33,15.79
99.4457,3939.9,15.79
99.4217,4097.05,15.78
99.4221,4101.77,15.78
99.4225,4106.5,15.77
99.4231,4111.25,15.77
99.4238,4115.98,15.77
99.4246,4120.71,15.76
99.4256,4125.97,15.76
99.4265,4130.67,15.76
99.4275,4135.34,15.75
99.4286,4140,15.75
99.4296,4144.66,15.75
99.4307,4149.25,15.75
99.4318,4154.36,15.74
99.4329,4159.45,15.74
99.4339,4164,15.74
99.4349,4168.53,15.74
99.4359,4173.1,15.74
99.437,4177.69,15.73
99.438,4182.3,15.73
99.4391,4187.46,15.73
99.4402,4192.62,15.73
99.4411,4197.32,15.72
99.4421,4202.03,15.72
99.4429,4206.78,15.72
99.4438,4211.55,15.71
99.4446,4216.38,15.71
99.4455,4221.74,15.7
99.4463,4227.11,15.7
99.4472,4232.51,15.69
99.4481,4237.95,15.68
99.449,4243.39,15.68
99.4498,4248.35,15.67
99.4506,4253.34,15.66
99.4515,4258.36,15.65
99.4523,4263.42,15.64
99.4532,4268.52,15.63
99.4542,4274.21,15.61
99.4552,4279.94,15.6
99.4563,4285.78,15.59
99.4573,4291.68,15.57
99.4583,4297.66,15.55
99.4591,4303.14,15.54
99.4599,4308.67,15.52
99.4608,4314.2,15.5
99.4616,4319.71,15.49
99.4623,4325.25,15.47
99.4632,4331.38,15.45
99.464,4337.53,15.43
99.4648,4343.73,15.41
99.4656,4350,15.39
99.4663,4356.27,15.37
99.4668,4362.59,15.35
99.4673,4368.97,15.32
99.4676,4375.37,15.3
99.4678,4381.82,15.28
99.468,4388.34,15.26
99.4654,4533.89,14.76
99.4655,4541.42,14.73
99.4656,4549.02,14.71
99.4658,4556.63,14.68
99.4659,4564.33,14.65
99.4661,4572.04,14.63
99.4663,4579.79,14.6
99.4665,4588.29,14.57
99.4668,4596.79,14.54
99.4671,4605.32,14.51
99.4674,4613.88,14.48
99.4678,4622.46,14.45
99.4683,4630.32,14.42
99.4687,4638.16,14.39
99.4692,4646.02,14.36
99.4698,4653.88,14.33
99.4704,4661.8,14.3
99.471,4669.74,14.27
99.4717,4677.78,14.25
99.4725,4685.87,14.21
99.4734,4694.04,14.18
99.4744,4702.99,14.15
99.4755,4711.99,14.12
99.4768,4721.01,14.08
99.4782,4730.07,14.05
99.4798,4739.12,14.01
99.4814,4747.43,13.98
99.483,4755.67,13.94
99.4848,4763.9,13.91
99.4867,4772.13,13.88
99.4889,4781.23,13.84
99.4911,4790.24,13.8
99.4935,4799.38,13.76
99.4959,4808.57,13.72
99.4985,4817.78,13.68
99.5009,4826.11,13.64
99.5034,4834.53,13.6
99.5061,4843.76,13.56
99.5087,4853,13.52
99.5115,4862.28,13.47
99.5143,4871.62,13.43
99.517,4880.89,13.38
99.5196,4889.32,13.34
99.5223,4898.56,13.3
99.5251,4907.84,13.25
99.5279,4917.03,13.21
99.5306,4926.32,13.16
99.5334,4935.64,13.11
99.5362,4944.94,13.06
99.539,4954.19,13.02
99.5418,4963.48,12.97
99.5447,4972.74,12.92
99.5476,4982,12.87
99.5506,4991.26,12.83
99.5536,5000.51,12.78
99.5567,5009.78,12.73
99.5598,5019,12.68
99.5632,5029.03,12.63
99.5665,5038.24,12.59
99.5698,5047.49,12.54
99.5731,5056.72,12.49
99.5768,5066.85,12.44
99.5803,5076.13,12.4
99.5838,5085.38,12.35
99.5874,5094.63,12.31
99.5913,5104.73,12.26
99.595,5113.95,12.21
99.5987,5123.15,12.17
99.6028,5133.12,12.12
99.6068,5143.06,12.08
99.6105,5152.11,12.04
99.6144,5161.94,11.99
99.6184,5171.82,11.95
99.6219,5180.85,11.91
99.6253,5189.86,11.87
99.6291,5199.71,11.82
99.6323,5208.73,11.78
99.6355,5217.66,11.74
99.6388,5227.42,11.7
99.6421,5237.15,11.66
99.6449,5246.02,11.62
99.648,5255.63,11.58
99.6508,5265.19,11.55
99.6533,5273.87,11.51
99.6559,5283.31,11.47
99.6585,5292.76,11.44
99.6609,5302.17,11.4
99.6633,5311.6,11.36
99.6656,5321,11.33
99.6679,5330.38,11.29
99.6701,5339.7,11.26
99.672,5348.2,11.23
99.6741,5357.48,11.2
99.6761,5366.71,11.16
99.6781,5375.82,11.13
99.68,5384.89,11.1
99.682,5393.91,11.07
99.6839,5402.86,11.04
99.6858,5411.82,11.01
99.6877,5420.82,10.99
99.6896,5429.77,10.96
99.6914,5438.69,10.93
99.6933,5447.58,10.91
99.6951,5456.4,10.88
99.6969,5465.15,10.86
99.6987,5473.89,10.83
99.7005,5483.27,10.81
99.7022,5491.87,10.79
99.704,5501.15,10.77
99.7055,5509.66,10.75
99.7071,5518.15,10.73
99.7085,5526.69,10.71
99.7099,5535.18,10.69
99.7112,5543.63,10.67
99.7125,5552.07,10.66
99.7138,5561.18,10.64
99.7149,5569.51,10.62
99.716,5578.53,10.61
99.7169,5586.83,10.59
99.7179,5595.71,10.58
99.7186,5603.86,10.57
99.7194,5612.67,10.56
99.72,5620.73,10.55
99.7205,5629.52,10.54
99.721,5637.65,10.53
99.7214,5646.42,10.52
99.7217,5654.51,10.51
99.7219,5663.25,10.5
99.722,5671.27,10.49
99.7221,5679.96,10.49
99.7215,5780.77,10.46
99.7217,5789.13,10.46
99.722,5797.45,10.46
99.7223,5805.08,10.46
99.7227,5813.36,10.46
99.7231,5821.61,10.47
99.7236,5829.86,10.47
99.7241,5838.12,10.47
99.7247,5846.36,10.47
99.7252,5854.55,10.48
99.7258,5862.76,10.48
99.7264,5870.95,10.48
99.727,5879.08,10.49
99.7276,5887.83,10.49
99.7283,5895.91,10.49
99.7291,5903.98,10.5
99.7298,5912.03,10.5
99.7306,5920.11,10.5
99.7315,5928.16,10.51
99.7323,5936.21,10.51
99.7331,5944.21,10.51
99.7339,5952.84,10.51
99.7347,5960.82,10.52
99.7355,5968.77,10.52
99.7363,5977.29,10.52
99.737,5985.16,10.52
99.7378,5993,10.52
99.7385,6001.43,10.53
99.7392,6009.25,10.53
99.7399,6017.09,10.53
99.7407,6025.52,10.53
99.7414,6033.35,10.53
99.7422,6041.12,10.53
99.743,6049.5,10.53
99.7438,6057.83,10.53
99.7447,6065.56,10.53
99.7456,6073.82,10.53
99.7465,6082.06,10.53
99.7474,6089.65,10.53
99.7483,6097.25,10.53
99.7493,6105.45,10.52
99.7504,6113.65,10.52
99.7514,6121.26,10.52
99.7525,6129.47,10.52
99.7537,6137.66,10.52
99.7547,6145.23,10.51
99.7558,6152.79,10.51
99.7569,6160.88,10.51
99.7581,6168.96,10.51
99.7592,6177,10.5
99.7603,6185.04,10.5
99.7613,6193.06,10.5
99.7624,6201.13,10.49
99.7634,6209.16,10.49
99.7643,6216.62,10.48
