TP (%),RPM,Lambda (AFR)
1.655,0,9.66
1.652,0.26,9.65
1.653,0.55,9.64
1.654,0.73,9.64
1.655,0.82,9.64
1.656,0.92,9.63
1.657,1.22,9.63
1.656,2.26,9.62
1.657,2.34,9.61
1.586,314.26,9.55
1.589,322.35,9.55
1.591,330.29,9.55
1.594,337.72,9.55
1.596,344.18,9.55
1.597,349.07,9.55
1.599,352.85,9.55
1.6,355.63,9.55
1.601,357.46,9.55
1.581,338.65,9.58
1.613,331.94,9.58
1.754,0,9.32
1.755,0,9.31
1.756,0,9.31
1.757,0,9.3
1.758,0,9.3
1.759,0,9.3
1.76,0,9.29
1.761,0,9.29
1.762,0,9.3
1.763,0,9.3
1.764,0,9.3
1.765,0,9.29
1.766,0,9.29
1.767,0,9.29
1.768,0,9.29
1.769,0,9.29
1.77,0,9.29
1.771,0,9.29
1.772,0,9.3
1.773,0,9.3
1.774,0,9.3
1.775,0.02,9.29
1.776,0.05,9.29
1.821,12.37,9.3
1.879,23.35,9.31
1.941,34.03,9.31
2.006,44.41,9.32
2.068,55.02,9.33
2.075,54.43,9.33
2.083,53.89,9.33
2.092,53.48,9.33
2.102,53.18,9.34
2.111,52.97,9.34
2.115,53.12,9.34
2.121,53.09,9.34
2.128,53.13,9.34
2.135,53.22,9.35
2.14,53.36,9.35
2.217,61.9,9.36
2.302,70.5,9.38
2.4,79.09,9.4
2.408,79.48,9.4
2.417,79.87,9.41
2.547,88.73,9.44
2.551,89.27,9.44
2.555,89.79,9.45
2.559,90.29,9.45
2.563,90.77,9.45
2.566,91.16,9.46
2.568,91.54,9.46
2.715,101.69,9.5
2.814,108.67,9.54
2.913,115.65,9.58
3.007,121.5,9.6
3.101,127.56,9.64
3.204,134.81,9.68
3.205,136.88,9.7
3.275,142.7,9.74
3.351,149.85,9.79
3.412,157.86,9.85
3.47,165.87,9.92
3.523,173.89,10
3.624,187.25,10.11
3.733,200.72,10.22
3.782,207.56,10.27
3.868,219.71,10.37
3.937,232.16,10.48
3.955,238.23,10.55
3.97,243.81,10.61
3.981,249.33,10.67
3.995,254.96,10.72
4.011,260.65,10.78
4.048,271.49,10.89
4.062,276.56,10.94
4.09,286.6,11.04
4.098,291.66,11.1
4.104,296.26,11.14
4.111,300.79,11.19
4.114,305.61,11.23
4.117,310.54,11.27
4.128,319.94,11.36
4.132,324.71,11.4
4.135,329.74,11.44
4.137,334.84,11.48
4.139,339.79,11.52
4.141,344.32,11.55
4.14,349.6,11.58
4.141,354.48,11.61
4.142,363.92,11.67
4.143,368.61,11.7
4.144,417.9,11.9
4.145,451.04,11.99
4.143,552.59,12.05
4.13,829.28,12.14
4.131,834.48,12.19
4.132,844.69,12.27
4.133,850.96,12.33
4.134,854.06,12.36
4.135,858.67,12.41
4.136,861.72,12.44
4.137,864.72,12.48
4.138,867.89,12.52
4.139,870.99,12.55
4.14,874.21,12.59
4.141,877.36,12.63
4.143,882.17,12.69
4.144,885.16,12.73
4.146,889.86,12.79
4.148,892.8,12.84
4.151,900.32,12.94
4.153,903.3,12.98
4.155,906.13,13.02
4.156,908.93,13.06
4.158,911.62,13.1
4.16,914.28,13.14
