,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,90000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000
100,10.1 ,10.1 ,10.1 ,10.1 ,9.68 ,8.52 ,8.05 ,7.55 ,7.23 ,7.41 ,7.75 ,8.12 ,8.57 ,8.89 ,9.1  ,9.4  ,9.36 ,9.28 ,9.38 ,10.33,8.88 ,8.63 ,8.47 ,8.2  ,7.97 ,7.73 ,7.49 ,7.27 ,7.04 ,6.8  
90,10.1 ,10.1 ,9.8  ,9.8  ,9.63 ,8.52 ,8.05 ,7.48 ,7.19 ,7.36 ,7.71 ,8.03 ,8.49 ,8.76 ,8.93 ,9.19 ,9.13 ,9.02 ,9.05 ,10   ,8.55 ,8.3  ,8.13 ,7.83 ,7.65 ,7.43 ,7.2  ,6.97 ,6.74 ,6.51 
80,9.7  ,9.7  ,9.6  ,9.6  ,9.48 ,8.4  ,7.96 ,7.41 ,7.15 ,7.3  ,7.66 ,7.95 ,8.42 ,8.63 ,8.76 ,8.98 ,8.91 ,8.75 ,8.73 ,9.68 ,8.22 ,7.96 ,7.79 ,7.47 ,7.34 ,7.12 ,6.89 ,6.67 ,6.45 ,6.23 
70,9.48 ,9.42 ,9.35 ,9.29 ,9.23 ,8.44 ,8.11 ,7.34 ,7.11 ,7.25 ,7.62 ,7.86 ,8.34 ,8.5  ,8.59 ,8.77 ,8.68 ,8.49 ,8.4  ,8.15 ,7.89 ,7.63 ,7.45 ,7.1  ,7.03 ,6.81 ,6.59 ,6.38 ,6.16 ,5.95 
60,9.14 ,9.05 ,8.96 ,8.87 ,8.78 ,8.25 ,7.92 ,7.38 ,7.11 ,7.22 ,7.43 ,7.73 ,8.06 ,8.15 ,8.13 ,8.23 ,8.19 ,8.1  ,7.83 ,7.6  ,7.38 ,7.1  ,7.05 ,6.82 ,6.78 ,6.57 ,6.36 ,6.14 ,5.93 ,5.72 
50,8.8  ,8.68 ,8.57 ,8.45 ,8.33 ,8.06 ,7.74 ,7.41 ,7.12 ,7.18 ,7.24 ,7.59 ,7.78 ,7.8  ,7.67 ,7.68 ,7.69 ,7.53 ,7.26 ,7.06 ,6.86 ,6.57 ,6.64 ,6.53 ,6.34 ,6.14 ,5.93 ,5.72 ,5.52 ,5.33 
40,8.46 ,8.32 ,8.17 ,8.03 ,7.95 ,7.88 ,7.6  ,7.26 ,6.95 ,6.8  ,6.8  ,7.01 ,7.06 ,6.97 ,6.81 ,6.74 ,6.73 ,6.65 ,6.47 ,6.26 ,6.11 ,5.81 ,5.74 ,5.72 ,5.67 ,5.44 ,5.25 ,4.95 ,4.83 ,4.72 
30,8.12 ,7.95 ,7.78 ,7.61 ,7.57 ,7.69 ,7.47 ,7.12 ,6.78 ,6.43 ,6.37 ,6.43 ,6.33 ,6.13 ,5.94 ,5.8  ,5.76 ,5.76 ,5.67 ,5.46 ,5.36 ,5.05 ,4.85 ,4.75 ,4.57 ,4.33 ,4.33 ,4.33 ,4.24 ,4.14 
20,7.78 ,7.58 ,7.38 ,7.19 ,6.87 ,6.9  ,6.52 ,5.76 ,5.2  ,4.96 ,5.04 ,4.97 ,4.91 ,4.79 ,4.67 ,4.6  ,4.6  ,4.6  ,4.49 ,4.38 ,4.28 ,4.19 ,3.83 ,3.7  ,3.7  ,3.48 ,3.48 ,3.47 ,3.47 ,3.29 
14,7.44 ,7.22 ,6.99 ,6.76 ,6.23 ,5.57 ,5.2  ,4.83 ,4.41 ,4.17 ,4.17 ,4.21 ,4.13 ,3.97 ,3.91 ,3.92 ,3.88 ,3.78 ,3.63 ,3.6  ,3.55 ,3.5  ,3.29 ,3.29 ,3.29 ,3.29 ,3.24 ,3.19 ,3.14 ,3.09 
8,6.75 ,6.54 ,5.58 ,5.26 ,4.69 ,4.35 ,4.32 ,4.05 ,3.78 ,3.52 ,3.58 ,3.51 ,3.45 ,3.25 ,3.11 ,3.05 ,2.91 ,2.71 ,2.71 ,2.89 ,3.04 ,2.87 ,2.69 ,2.69 ,2.65 ,2.61 ,2.57 ,2.53 ,2.49 ,2.46 
5,6.27 ,5.73 ,5.05 ,4.85 ,4.39 ,4.14 ,3.88 ,3.5  ,3.34 ,3    ,2.91 ,2.94 ,2.69 ,2.29 ,2.27 ,2.31 ,2.35 ,2.35 ,2.35 ,2.26 ,2.37 ,2.35 ,2.33 ,2.1  ,2.08 ,2.06 ,2.03 ,2.01 ,1.99 ,1.97 
2,5.73 ,4.36 ,3.76 ,3.55 ,3.36 ,3.14 ,2.93 ,2.53 ,2.46 ,2.33 ,2.22 ,2.17 ,1.9  ,1.63 ,1.57 ,1.57 ,1.57 ,1.47 ,1.4  ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 
0,5.3  ,3.8  ,2.8  ,2.69 ,2.22 ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  ,0.5  
